id	name	description
phs001737	Ectrodactyly Ectodermal Dysplasia Cleft Lip/Palate (EEC) Syndrome Study	Transcription factor p63 is a key regulator of epidermal keratinocyte proliferation and differentiation. Heterozygous mutations of TP63 encoding p63 cause a spectrum of developmental disorders. EEC syndrome is caused by  point mutations in the p63 DNA-binding domain, and manifests ectodermal dysplasia with defects in the epidermis and epidermal related appendages
phs001738	Kids First: Familial Predisposition to Hematopoietic Malignancies    (SJFAMILY-HM)	The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by the  NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella Miller
phs001739	Role of the Cervico-Vaginal Microbiome in Spontaneous Preterm Birth	Preterm birth is the leading cause of neonatal morbidity and mortality. A failure to predict and understand the causes of preterm birth have limited effective interventions and therapeutics. From a  cohort of 2,000 pregnant women, we performed a nested case control study on 107 well-phenotyped cases of spontaneous preterm birth (sPTB) and 432
phs001740	CCDG- Neuropsychiatric: Autism- Study of Autism Genetics Exploration    (SAGE)	In this study, we address the enormous challenges common complex diseases pose for genomic analysis and the enormous opportunities surmounting them offers for advancing healthcare. The common genetic disorders proposed  for study here are believed to have extreme locus heterogeneity, requiring the analysis of large numbers of samples to comprehensively identify the
phs001741	CCDG- Neuropsychiatric: Autism- The Autism Simplex Collection (TASC)	In this study, we address the enormous challenges common complex diseases pose for genomic analysis and the enormous opportunities surmounting them offers for advancing healthcare. The common genetic disorders proposed  for study here are believed to have extreme locus heterogeneity, requiring the analysis of large numbers of samples to comprehensively identify the
phs001742	Clonal Mapping of Multi-Organ Metastasis and Chemoresistance in Triple    Negative Breast cancer	Clonal dynamics during metastasis were studied in two patient-derived xenograft (PDX) models established from treatment-naive primary breast tumors from TNBC patients diagnosed with concurrent metastatic disease. Genomic sequencing and barcode-mediated  clonal tracking revealed robust alterations in clonal architecture between primary tumors and metastases. Polyclonal seeding and maintenance of low
phs001743	Contribution of Systemic and Somatic Factors to Clinical Response and    Resistance in Urothelial Cancer	Patients with metastatic urothelial cancer (n 29) were treated with atezolizumab (anti-PD-L1). All 29 patients had T-cell receptor sequencing (TCR-seq) of the pre-treatment blood; 24 also had TCR-seq on at  least one post-treatment blood sample. 24 patients had TCR-seq of their pre-treatment tumors. TCR-seq data can be found at http://doi.org/10.5281
phs001744	Genome-Wide Association Study of HCC in Non-Asian USA Population	This GWAS of HCC relied on existing biological and data resources from 7 USA sites and one Canadian site which allows for the integration of genetic and environmental data. Total  of 2199 case patients and 1103 non cancer controls were genotyped. Case patients are defined as patients with pathological or radiological diagnosis
phs001745	Human Lung Tissue eQTL Study	Genetic risks underlying respiratory diseases (e.g. COPD and asthma) are carefully studied by large genome-wide association studies (GWAS), where many loci were identified. In the post-GWAS era, the main challenge  is to find the causal genes and pathways in GWAS-nominated chromosomal regions and to characterize etiology mechanism. The Lung eQTL Consortium is an
phs001746	A Genomic Atlas of Systemic Interindividual Epigenetic Variation in    Humans (GTEx)	Methylation of cytosines in CpG dinucleotides is an epigenetic mechanism with essential roles in mammalian development. To explore its functions in cellular differentiation, unbiased analysis of CpG methylation by whole  genome bisulfite sequencing (WGBS) has been used to characterize epigenetic differences among different human tissues and cell types. Meanwhile
phs001747	Caregiving as a Natural Stressor in Coronary Heart Disease (CAREGIVER)	The burden of caregiving for an ill relative has been shown to interact with existing comorbidities to increase risk of several health outcomes including metabolic syndrome and blood pressure reactivity.  The CAREGIVER study was developed to compare cardiometabolic risk factors in caregivers and controls. These risk factors include physiologic measures
phs001748	Molecular Genetics of Histiocytic Sarcoma	This is a comprehensive genomic analysis of a rare set of histiocytic sarcomas from the consult service of the Hematopathology section of the Laboratory of Pathology, NCI, NIH. The study  identifies two distinct groupings of these tumors based on the site of disease, their mutational spectrum, and proliferation signature. All archived
phs001749	Genetics of Congenital Anomalies of the Kidney and Urinary Tract	The Genetics of Congenital Anomalies of the Kidney and Urinary Tract (CAKUT) contributes data from unrelated individuals who were recruited at the Columbia University Medical Center (New York, USA), the  Polish Registry of Congenital Malformations (Poland), the Universities of Parma, Bari, and Brescia, and the Gaslini Institute (Italy), the University
phs001750	Single Cell Analysis of Pulmonary Fibrosis	Pulmonary fibrosis is a heterogenous syndrome in which fibrotic scar replaces normal lung tissue. We performed massively parallel single-cell RNA-Seq on lung tissue from eight lung transplant donors and eight  patients with pulmonary fibrosis. Combined with in situ RNA hybridization, with amplification, these data provide a molecular atlas of disease
phs001751	Rare Disease Susceptibility Variants in Children with Crohn's Disease.	We performed targeted, massively-parallel sequencing of 101 genes in 205 children with Crohn's disease, including 179 parent-child trios and 200 controls, both of European ancestry. We identified three genes with  nominally significant p-values: NOD2, RTKN2, and MGAT3. Only NOD2 was significant after correcting for multiple comparisons. We identified eight
phs001752	Neuroendocrine Prostate Cancer - cfDNA (Cornell/Trento 2019)	A subset of castration resistant prostate cancers develop small cell neuroendocrine prostate cancer (NEPC) as a mechanism of treatment resistance. Metastatic tissue biopsies to evaluate for NEPC transformation are invasive  and challenging to perform serially. We performed whole exome and whole genome bisulfite sequencing of plasma cfDNA and matched tumor biopsy samples
phs001753	Rapid Evolution of a Skin Lightening Allele in Southern African KhoeSan	The genetic architecture and polygenicity of skin pigmentation is explored in KhoeSan communities, including Nama individuals whose phenotype and genotype data are provided in this dataset. By pairing genotypes and  quantitative spectrophotometric skin pigmentation phenotypes, we show that skin pigmentation is highly heritable in KhoeSan, yet known pigmentation
phs001754	Spit for Science	Spit for Science&#x02122; is a university-wide research opportunity with the scientific goal of understanding how genetic and environmental factors come together to influence substance use and emotional health across the  college years and beyond. To address this goal, we have comprehensively and longitudinally studied eligible incoming freshmen (18 years or older
phs001757	Sequencing of the olfactory receptor subgenome	The goal of this study was to explore the relationship between genetic variation in the olfactory receptor family and odor perception. 332 subjects rated the intensity and pleasantness of 66  odors at 2 concentrations and 2 solvents. Detection thresholds of 3 odors were also measured. Targeted sequencing was performed on 413 olfactory
phs001758	Identification of Rare Germline Variants in Familial Patients with    Non-medullary Thyroid Cancer	As the most common malignancy of the endocrine system, thyroid cancer is classified into two major categories, non-medullary thyroid cancer (NMTC) and medullary thyroid cancer (MTC) according to the origins  and clinical features. NMTC includes papillary thyroid cancer (PTC), follicular thyroid cancer (FTC), and anaplastic thyroid cancer (ATC). Sporadic
phs001759	Profiles of exRNA in CSF and Plasma from Subarachnoid Hemorrhage Patients	Brain injury resulting from hemorrhagic stroke is clinically challenging to manage and results in high rates of morbidity and mortality. The pathophysiology of brain damage resulting from aneurysmal subarachnoid hemorrhage  (aSAH) is largely unknown, and methods to treat and monitor patients are variable with no meaningful correlations to patient outcome. Prediction of
phs001761	Genomic Characteristics of MPNs in IR-Exposed Patients	"The study ""Genomic Characteristics of Myeloproliferative Neoplasms in Patients Exposed to Ionizing Radiation following the Chernobyl Nuclear Accident"" was designed as case-control study. We studied genomic characteristics of chronic Philadelphia  chromosome-negative myeloproliferative neoplasm (MPNs) in Ukrainian patients who were previously exposed to Ionizing Radiation (IR) due to Chernobyl"
phs001765	Genomic Characterization of Parathyroid Cancer	Here we performed genomic characterization of twenty-nine sporadic parathyroid cancers using next generation whole exome sequencing. Thirty-three novel candidate driver genes for sporadic parathyroid cancer were proposed, in addition to  previously known driver genes CDC73 and MEN1. All patients undergoing surgical resection for sporadic parathyroid cancer at a tertiary cancer center
phs001766	CCDG-Neuropsychiatric: Autism- Autism Genetic Resource Exchange (AGRE)	In this study, we address the enormous challenges common complex diseases pose for genomic analysis and the enormous opportunities surmounting them offers for advancing healthcare. The common genetic disorders proposed  for study here are believed to have extreme locus heterogeneity, requiring the analysis of large numbers of samples to comprehensively identify the
phs001767	Identifying Novel Small RNA Biomarkers for Patients with Gastric Cancer	The biomarker development study consisted of two parts: discovery and validation. The first part was the discovery and verification phase of biomarkers using two different platforms: transcriptomic and miRNA. The  salivary transcriptomes of 63 GC samples and 31 non-GC controls were profiled using Affymetrix HG U133+2.0 microarrays (Affymetrix, Santa Clara, CA
phs001768	Longitudinal Assessment of Methylmercury and Gut Microbes During    Pregnancy	Methylmercury is a potent neurotoxin, and the fetal period is the most vulnerable exposure period. There is significant variability in methylmercury metabolism, which has been attributed to differences in the  structure and function of the gut microbiome. Our main objective was to better understand the interplay between gut microorganisms and methylmercury
phs001769	Intravenous Norepinephrine for Orthostatic Hypotension	Patients with chronic autonomic failure (CAF) often have disabling orthostatic hypotension (OH). OH in CAF patients is often associated with supine hypertension (hypertension while lying down), which can be severe.  Drugs to treat OH worsen supine hypertension. Therefore, the combination of OH with supine hypertension poses a difficult therapeutic challenge. This
phs001770	Assessment of Health-related Quality of Life in Rare Kidney Stones	The purpose of this study is to learn about Health-related Quality Of Life (HRQoL) in patients enrolled in the Rare Kidney Stone Consortium (RKSC) registries. Quality of life studies look  at different aspects of both physical and mental components of people's lives. HRQoL data for people affected by kidney stones are not currently
phs001771	Genomic Diagnosis and Individualized Therapy of Monogenic Diabetes	The most common and well-known causes of diabetes are type 1 and type 2 diabetes; however, there are many other etiologies of diabetes. At least 1-2% of diabetes cases result  from high penetrance single gene defects, most commonly in a gene encoding either a transcription factor involved in beta cell development and
phs001772	A Genomic Approach to Improved Diagnosis and Treatment of Neuroendocrine    Tumors	These are RNA-Seq samples from patients undergoing surgery for small bowel and pancreatic neuroendocrine tumors. Normal tissue, primary tumors, lymph nodes, and liver metastases were collected at surgery and stored  in RNAlater until RNA extraction was carried out for RNA-Seq. Patients having surgery for small bowel and pancreatic neuroendocrine tumors. Sub
phs001773	Linked-Read Sequencing to Resolve Complex Structural Variants	Large structural variants (SVs) are important contributors to disease yet remain one of the most difficult types of variation to accurately ascertain, in part because they cluster in duplicated/repetitive regions,  but also because the signals for these events can be challenging to detect with short reads. Clinically, array comparative genome hybridization and
phs001774	UW-CMG: Atrioventricular Septal Defects (AVSD) Study	The Centers for Mendelian Genomics project uses next-generation sequencing and computational approaches to discover the genes and variants that underlie Mendelian conditions. By discovering genes that cause Mendelian conditions, we  will expand our understanding of their biology to facilitate diagnosis and new treatments. Sequencing Center: UW Center for Mendelian Genomics
phs001775	Alcohol Dependence: Sequencing from Multiplex Families	Two multiplex for alcohol dependence family studies were initiated based on the gender of a pair of probands. Ascertainment of a pair of AD probands was used to increase the  density of alcohol dependence within the family. Identification of male (Cognitive and Personality Factors in Relatives of Alcoholics Family Study
phs001776	NCI LTG Human Pancreas QTL Study	We created a human histologically normal pancreas eQTL resource using 91 fresh frozen tissue samples from patients diagnosed with pancreatic cancer (Mayo Clinic and Memorial Sloan Kettering Cancer Center) or  from organ donors without a history of pancreatic cancer (Penn State University) by RNA-Sequencing. Genome wide genotyping was done using blood
phs001777	Sertoli Cell-Only Syndrome Human Transcriptome Profiling Study	Sertoli cell-only syndrome is severe form of human male infertility in which most seminiferous tubules appear to lack all spermatogenic cells, including spermatogonial stem cells (SSCs). However, a few small  tubule segments of some patients have active spermatogenesis and, thus, functional stem cell niches and SSCs. Normally SSCs replicate, migrate and
phs001778	Myelodysplastic Syndrome (MDS) in Humanized Mice	"This study was to develop a faithful pre-clinical MDS patient-derived xenotransplantation model in cytokine-humanized immunodeficient ""MISTRG"" mice. We performed targeted genome sequencing on bone marrow from patients with MDS or  AML and from bone marrow of mice engrafted with the respective patient bone marrow. Cytokine-humanized immunodeficient mice faithfully replicate"
phs001779	CIDR-NIA Whole Exome Analysis of Ehlers-Danlos Syndrome	The Ehlers-Danlos syndromes (EDS) are a family of hereditary disorders of connective tissue characterized by joint hypermobility and skin involvement with soft, translucent, stretchy skin, and atrophic scarring. To date,  over 12 different types of EDS are known, and the genes causing almost all of them have been found. However, the gene(s) underlying the most common
phs001780	African Demographic History Study Using Illumina 1M Array Data	These data were used as part of a study to characterize genomic diversity in Africa, population substructure, and evolutionary history. All individuals over age 18 were eligible to participate. Principal  Investigator: Sarah Tishkoff, PhD, University of Pennsylvania, Depts. of Biology and Genetics, Philadelphia, PA, USA Funding Sources: 5-R01-M076637
phs001781	Proteogenomic Landscape of Squamous Cell Lung Cancer	To provide a detailed analysis on how genomic and transcriptomic alterations related to proteome level changes in squamous cell lung cancer (SCC), we performed an integrated analysis incorporating DNA copy  number, somatic mutations, expression RNA-sequencing, and expression proteomics in 108 SCC nested within clinical outcome, tumor pathology, and other
phs001782	Effect of the Placental Transcriptome on Stunting in a Longitudinal    African Cohort	Mammals with placentas and flowering plants evolved genomic imprinting in nutritive tissues, the placenta and endosperm, respectively. In these tissues, the genomes inherited from the mother and father are in  conflict over resource allocation to offspring. In imprinted genes, transcription is repressed on the paternal or the maternal allele, resulting in
phs001783	Exome Recapture and Sequencing of Prospectively Characterized Clinical    Specimens From Cancer Patients	The study cohort comprises samples from patients whose tumors have been prospectively characterized as part of their care at Memorial Sloan Kettering Cancer Center. This includes a variety of distinct  tumor type and molecular subtypes. DNA samples from tumor tissue were from patients at Memorial Sloan Kettering Cancer Center. Tumor and normal
phs001784	Functional Genomics and Molecular Imaging of Liver Disease and Cancer	Molecular imaging with 18F-fluorocholine PET/CT reveals two distinct imaging phenotypes for hepatocellular carcinoma (HCC) as a potential source of non-invasive insight into its molecular heterogeneity. Using gene set enrichment analyses,  we found 18F-fluorocholine-avid tumors to be significantly enriched by genes comprising a subset of previously published HCC-related gene signatures
phs001785	Kids First: Vascular Anomaly Syndromes	The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by the  NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella Miller
phs001786	SU2C GEMM Trial	The goal of the GEMM Trial is to ascertain if comprehensive and systematic interrogation of a patient's tumor molecular profile improves outcomes compared to the current practice of physician's choice  for metastatic melanoma patients who have progressed following first line therapy. The data shared here includes tumor/normal exome and tumor RNAseq
phs001787	Discovery of Colorectal Cancer Susceptibility Genes in High-Risk Families	Colorectal cancer remains one of the most common cancers in the US with 146,970 new diagnoses and 49,920 deaths estimated for 2009. Colon cancer is also one of the most  familial of cancers. Individuals with a first-degree relative with colon cancer have a 2- to 3-fold increased risk, and those with more than one
phs001788	CFAR Network of Integrated Clinical Systems (CNICS)	Advances in antiretroviral therapies (ART) and patient management have improved survival of people living with HIV (PLWH). However, with exposure to ART and associated side effects and toxicities as well  as to the virus itself, PLWH are at an increased risk of several chronic diseases. The Centers for AIDS Research (CFAR) Network of Integrated
phs001790	NIMH Human Middle Temporal Gyrus (MTG) Cell Types	Elucidating the cellular architecture of the human neocortex is central to understanding our cognitive abilities and susceptibility to disease. In this study, we applied single nucleus RNA sequencing to perform  a comprehensive analysis of cell types in the middle temporal gyrus of human cerebral cortex. We identify a highly diverse set of excitatory and
phs001791	A Multimodal Atlas of Human Brain Cell Types	"""A multimodal atlas of human brain cell types"" includes sample data targeting two cell types that show species differences between mouse and human. First, it includes a detailed transcriptomic, morphological,  and electrophysiological characterization of cell types in layer 1 of human middle temporal gyrus, focusing primarily on different inhibitory cell"
phs001792	Intergenerational Blood Pressure Study (InterGEN Study)	This research study focuses on the genomic and psychological environmental effects on blood pressure among mothers and their children. The study includes 250 mothers who self-identify as AA/black, and 250  children between the ages of 3 and 5 years old at the time of enrollment. The study is longitudinal and data collection interviews are scheduled
phs001793	Pharmacogenomic Interactions in Glioblastoma Cell Line Models	Glioblastoma (GBM) is a lethal disease without effective treatments. To advance toward effective therapeutic approaches that are biomarker-driven, there is a need for new targeted agents and to develop accurate  preclinical models that encompass its cellular and molecular diversity. Historical cell line models poorly represent molecular diversity of GBMs, so
phs001794	Beckwith-Wiedemann Syndrome (BWS) Study	miRNA data from Beckwith-Wiedemann syndrome patients was compared with samples from large overgrowth syndrome animals (GSE117015). Tongue samples from patients with Beckwith-Wiedemann Syndrome were included. Principal Investigator: Jennifer Kalish, MD,  PhD, Children's Hospital of Philadelphia, Philadelphia, PA, USA Funding Sources: K08 CA193915, National Institutes of Health, Bethesda, MD, USA
phs001795	Genetic Analysis of the Chiari I Malformation	This study used whole exome sequencing (WES) on families affected with Chiari I Malformation (CM1). Individuals were recruited from the Republic of Tartarstan in the Russian Federation, where CM1 has  a high prevalence (approximately 413 out of 100,000). At least one-third of these affected individuals have an affected relative. In collaboration
phs001796	Molecular and Cellular Correlates of Nerve Repair in Humans	This is a longitudinal prospective cohort study in patients with carpal tunnel syndrome undergoing decompression surgery. Phenotypic data and skin biopsies were collected before and 6 months after surgery to  determine molecular and cellular correlates associated with neural regeneration and neuropathic pain. RNA sequencing was performed in the skin
phs001797	UW TAN Study of Metastatic Urothelial Carcinoma	Patients with metastatic urothelial carcinoma treated at our institution, who elected to undergo rapid autopsy at the time of death, are included in this study. These patients agreed to submit  their tissue (normal samples for germline analysis [kidney or liver] as well as primary and metastatic tumor sites [urothelial carcinoma]) and the
phs001798	A New Reference Panel to Boost African American Genotype Imputation	Modern genetic studies have been conducted predominantly in cohorts of individuals of European ancestry. By 2010, there were approximately ten times as many published genome wide association studies (GWAS) in  people of European ancestry than studies in people of all other ancestries combined. This research disparity has led to an uneven understanding of
phs001799	Genomic landscape of Neutrophilic Leukemias of Ambiguous Diagnosis	Chronic neutrophilic leukemia (CNL), atypical chronic myeloid leukemia (aCML), and unclassified myelodysplastic syndrome/myeloproliferative neoplasms (MDS/MPN-U) are a group of rare, heterogeneous myeloid disorders. There is strong morphologic resemblance amongst these  distinct diagnostic entities as well as lack of specific molecular markers and limited understanding of disease pathogenesis, which has made their
phs001800	Genomics of Pediatric Renal Medullary Carcinomas	Version 1 We derived faithful cancer cell lines from patients with a diagnosis of renal medullary carcinomas (RMC). These models have been sequenced with whole genome, exome and transcriptome technologies  along with the patient's primary germline and tumor samples. We took these faithful models and performed loss-of-function genetic perturbation
phs001802	Genetics of Lymphatic Anomalies from CAG	Lymphatic anomaly, a rare and devastating disease spectrum of mostly unknown etiologies, is characterized by diffuse or multicentric proliferation of dilated lymphatic vessels, and includes a variety of diagnoses: lymphangiectasia,  central conducting lymphatic anomaly, generalized lymphatic anomaly, kaposiform lymphangiomatosis, and Gorham Stout disease. Currently, most
phs001803	Identification of Genomic Markers of Cervical Dystonia and Subtypes	As the third most common movement disorder, dystonias collectively affect more than 2 million people worldwide. Despite their high prevalence, their biological roots are largely unknown. Genetic influences are suggested  in familial studies, however, no specific genetic variants are responsible for a significant proportion of identified cases. Previous genome-wide
phs001804	Genetic Epidemiology of Opioid Dependence in Bulgaria (GEODB)	The study was conducted in Bulgaria as a collaboration between the Molecular Medicine Center (Medical University, Sofia), the Bulgarian Addictions Institute (Sofia), the Initiative for Health Foundation (Sofia) and Washington  University School of Medicine (Saint Louis, MO, USA). This is a case-population control study. Participants (N 2,499 interviews; N 1,995 with GWAS
phs001805	Endogenous CD4+ T Cells Recognize Neoantigens in Lung Cancer, including    KRAS and Her2	Neoantigen-specific T cell responses were characterized in 4 patients with non-small cell lung cancer. Candidate neoantigens were identified by sequencing tumor and normal DNA from each patient, and ranking single  nucleotide variants by expression. Multiple T cell responses were isolated, and in two patients with lung adenocarcinoma, CD4+ T cell responses to
phs001806	Kids First: Whole Genome Sequencing of Nonsyndromic Craniosynostosis	The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by the  NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella Miller
phs001807	InTEAM Consortium - Alcoholic Hepatitis	Alcoholic hepatitis (AH) is a life-threatening condition characterized by profound hepatocellular dysfunction for which targeted treatments are urgently needed. Identification of molecular drivers is hampered by the lack of suitable  animal models. By performing RNA sequencing in livers from patients with different phenotypes of alcohol-related liver disease (ALD), we describe the
phs001808	Landscape of Somatic Mutations in B Lymphocytes Across Human Lifespan	The accumulation of spontaneous mutations in somatic cells has been implicated as a cause of aging since 1950. Yet, attempts to establish a causal relationship between somatic mutations and aging  have been constrained by the lack of methods to directly identify mutational events in primary human tissues. Using a highly accurate single-cell
phs001809	GSCAN GWAS Meta-analysis of Tobacco and Alcohol use (GSCAN-GWAS)	This study was a meta-analysis of genome-wide association study (GWAS) of substance use across 1.2 million total participants with European ancestry (some phenotypes are based on fewer participants). The phenotypes  were chosen to represent different stages and kinds of substance use from initiation (age of smoking initiation) to regular use (cigarettes per day
phs001810	Gene-Environment Interactions in COCCaINE Use Disorder (COCCaINE)	Drug addiction is a phenotype that has high heritability estimates. In recent years, association studies of candidate genes and some genome-wide association studies (GWAS) have identified a large number of  SNPs associated with substance use, abuse or dependence, particularly in phenotypes related to alcohol and nicotine use. Regarding snorted or smoked
phs001811	Molecular Determinants of Tumor Behavior in Early Lung Adenocarcinoma	Lung adenocarcinoma is the leading cause of cancer death worldwide and a heterogeneous disease with poor survival in the advanced stage. Given that the frequency of early diagnosis is increasing,  the investigation of the molecular determinants of disease progression is paramount. Prediction of whether the tumor is indolent or aggressive has
phs001812	Genetic and Epigenetic Determinants of Pediatric Obesity-Associated    Asthma	Fifty-nine obese and sixty-one normal-weight asthmatic children of African American or Hispanic background, age 7-11 years, with well controlled asthma, were recruited from clinics affiliated with Children's Hospital at Montefiore,  Bronx, New York, USA. We isolated CD4+ T cells (Th cells) from a fasting sample of peripheral blood and conducted genome-wide assays of gene
phs001813	Integrative Tissue Analysis of Men with Prostate Cancer	Prostate cancer is readily curable if detected early. The goal of this research is to assess the molecular alterations that contribute to prostate cancer development, and how the interaction of  tumor-cell autonomous alterations and immune cell proportions contribute to the predictability of recurrence. Inclusion: Men diagnosed with localized
phs001814	Molecular Genetics of Heterotaxy and Related Congenital Heart Defects	Heterotaxy syndrome is a congenital anomaly syndrome accompanied by thoracic and abdominal situs abnormalities. The study cohort comprises of individuals with heterotaxy or related congenital heart disease (CHD) who have  undergone exome sequencing. The purpose of the study is to elucidate the molecular genetics of the disorder as well as contribute to knowledge about
phs001815	Minority Health GRID - Consortium	The Minority Health Genomics and Translational Research Bio-repository Database (MHGRID) Network infrastructure facilitated the collection of biospecimens and related multidimensional data elements within a consortium of minority-serving clinics. This initiative  expands the diversity of ancestral groups in national genomic medicine datasets and promises to accelerate the translation of personalized medicine
phs001816	CRISPR-Mediated ASD Gene Knockout Reduces Neuronal Activity	Autism Spectrum Disorder is phenotypically and genetically heterogeneous. We present a CRISPR gene editing strategy to insert a protein tag and premature termination sites creating an induced pluripotent stem cell  (iPSC) knockout resource for functional studies of 10 ASD-relevant genes (AFF2/FMR2, ANOS1, ASTN2, ATRX, CACNA1C, CHD8, DLGAP2, KCNQ2, SCN2A, TENM1
phs001817	GeneScreen, a Population Based, Targeted Genomic Screening Study	The GeneScreen research study was based at the University of North Carolina (UNC) at Chapel Hill. It brought together researchers from different disciplines, including genetics, clinical medicine, bioethics, sociology, anthropology,  psychology, and public health, to study the best ways to offer targeted genetic screening to the general adult population. DNA samples were collected
phs001818	Single-Cell Genomic Analysis of Gastrointestinal Cancer	Our study aimed to define the heterogeneity of gastrointestinal cancers at a single-cell resolution. We subjected single-cell suspensions derived from surgical resections of gastrointestinal cancer tissue, paired normal tissue, peripheral  blood mononuclear cells (PBMCs) or their ex vivo cultures to high-throughput microfluidics based single-cell RNA and DNA sequencing. We analyzed the
phs001819	Whole Genome Sequencing to Discover Familial Myeloma Risk Genes	We identified germline KDM1A truncating mutations in patients with multiple myeloma (MM), and loss of heterozygosity (LOH) in tumors. KDM1A mutation burden is higher in sporadic MM patients than in  controls, and mRNA levels are lower in MM compared with normal plasma cells. KDM1A pharmacological inhibition in vitro promotes myeloma cell
phs001820	Nationwide Children's Hospital Pediatric Cancer and Blood Disorder    Project	The aim of this study is to enable the unification of the clinical and research arms of comprehensive genomic profiling in the setting of cancer and hematologic disease. Increasingly, studies  of the genomic etiology of cancer and hematologic diseases are being utilized for patient management, including prognostication, informing diagnosis
phs001823	Genome and Transcriptome Analysis of Lung Cancer Cell Lines	"We have used a ""chemistry first"" approach to discover druggable acquired vulnerabilities that arised in the pathogenesis of non-small cell lung cancer (NSCLC). We screened chemical libraries ( 200,000 compounds)  for chemical toxins that killed subsets of NSCLC but not normal human lung epithelial cells (HBECs). We first screened a panel of 12 NSCLC lines that"
phs001824	RNASeq of Plasmacytoid Dendritic Cells in Head and Neck Squamous Cell    Cancer	Plasmacytoid dendritic cells (pDC) are a subset of dendritic cells with unique immunophenotypic properties and functions. While their role in antiviral immunity through production of type I interferons is well-established,  their contributions to anti-tumor immunity are less clear. While some evidence demonstrates that pDC in the tumor microenvironment (TME) may drive
phs001825	Study of 5'UTR Mutations in Prostate Cancer	The 5' untranslated region (5' UTR) of mRNA controls the translation of specific transcripts through encoded cis-regulatory elements. Yet exceedingly little is known about the prevalence and function of 5'  UTR mutations in cancer. We have uncovered many 5' UTR mutations in our analysis of localized and castration resistant prostate cancer patients, and
phs001826	Intern Health Study (IHS)	The Intern Health Study is an NIH-funded longitudinal cohort study that assesses stress and mood in medical interns at institutions around the US, enrolling over 3000 new interns each year.  We are hopeful that data collected in this study will further understanding of the psychological, genetic, and program factors involved in the
phs001828	Genetic Studies of Chronic Kidney Disease (CKD)	The Genetic Studies of Chronic Kidney Disease (CKD) is an ongoing genetic research and biobanking protocol which aims to elucidate the genetic basis CKD. The study recruits patients seen at  the Columbia University Medical Center (CUMC) Nephrology Division for the evaluation and care of CKD. All patients clinically diagnosed with CKD are
phs001829	Molecular Characterization of Response to Rectal Chemoradiation	Pre-operative chemoradiation (CRT) followed by resection is the standard of care option for patients with locally advanced rectal adenocarcinoma. Pathologic downstaging after CRT is associated with improved outcomes, but molecular  predictors of response are poorly understood. We performed whole exome sequencing, gene expression profiling, and immune infiltrate analysis on
phs001830	Tumor Heterogeneity and Drug Resistance in FGFR2-Fusion    Cholangiocarcinoma	Whole exome sequencing was performed on blood and tumor specimens (collected from biopsy or rapid research autopsy) from a patient with FGFR2 fusion positive cholangiocarcinoma. Inclusion Criteria: 1) A histologically  or cytologically confirmed diagnosis of cancer 2) Patients with any malignancy 3) Patients must have tumor suitable for research tumor biopsy (as
phs001831	Elucidating Transcription Regulation by Epigenetics in Neuroblastoma	PURPOSE Whole-genome profiles of the epigenetic modification 5-hydroxymethylcytosine (5-hmC) are robust diagnostic biomarkers in adult patients with cancer. We investigated if 5-hmC profiles would serve as novel prognostic markers in  neuroblastoma, a clinically heterogeneous pediatric cancer. Because this DNA modification facilitates active gene expression, we hypothesized that 5
phs001833	Genetic Model of MS Severity	"The goal of ""Comprehensive Multimodal Analysis of Neuroimmunological Diseases of the CNS"" is to define the pathophysiological mechanisms underlying the development of disability in immune-mediated disorders of the central nervous  system (CNS) and to distinguish these from physiological (and often beneficial) responses of the human immune system to CNS injury. The long-term"
phs001834	Genetics of Fuchs Corneal Dystrophy	This grant proposal continues to expand our understanding of the clinical presentation of Fuchs corneal dystrophy, and its underlying genetic basis, which will lead to the development of better therapeutic  models and treatment for a common corneal dystrophy that affects 4% of the US population over age 40. The proposed investigation is a family-based
phs001835	Whole-Exome Sequencing and Targeted DNA Sequencing of Matched Ocular    Melanocytosis and Uveal Melanoma	Ocular melanocytosis is the most important predisposing condition for the eye cancer uveal melanoma (UM). Here we used whole-exome and deep targeted sequencing to identify for the first time a  clonal Gq pathway mutation in ocular melanocytosis, which gave rise to UM. Additionally, we elucidated the order in which canonical genetic
phs001836	A Single Cell Transcriptomic Analysis of Human Neocortical Development	Defining the number, proportion, or lineage of distinct cell types in the developing human brain is an important goal of modern brain research. We produced single cell transcriptomic profiles for  40,000 cells at mid-gestation to define deep expression profiles corresponding to all known major cell types at this developmental period and compare
